Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
2023-01-01,Вася,59,25,1,4,3,0,2,9,0
2023-01-02,Вася,50,21,1,1,1,1,0,9,0
2023-01-03,Вася,52,14,1,3,3,1,0,7,0
2023-01-04,Вася,64,13,1,3,1,1,0,8,0
2023-01-05,Вася,74,16,1,3,2,1,0,7,0
2023-01-06,Вася,77,11,1,2,2,-1,0,8,1
2023-01-07,Вася,79,26,1,4,2,1,0,10,0
2023-01-08,Вася,51,21,1,4,2,1,2,5,0
2023-01-09,Вася,74,17,0,4,6,1,0,4,0
2023-01-10,Вася,68,23,1,4,5,-1,0,7,0
2023-01-11,Вася,77,20,1,1,1,1,2,9,0
2023-01-12,Вася,57,21,-1,3,3,0,1,8,0
2023-01-13,Вася,56,12,1,4,3,1,1,8,0
2023-01-14,Вася,66,25,1,4,2,1,0,6,1
2023-01-15,Вася,60,19,1,4,4,-1,2,11,0
2023-01-16,Вася,58,20,1,1,5,1,2,5,0
2023-01-17,Вася,64,20,0,4,4,-1,2,9,0
2023-01-18,Вася,52,14,1,4,3,1,0,8,0
2023-01-19,Вася,67,21,1,4,6,1,0,9,1
2023-01-20,Вася,52,22,-1,4,4,1,1,8,0
2023-01-21,Вася,72,20,0,3,5,-1,1,7,0
2023-01-22,Вася,50,24,0,4,1,1,2,10,0
2023-01-23,Вася,70,22,-1,1,2,1,2,7,1
2023-01-24,Вася,54,10,0,4,6,1,2,8,0
2023-01-25,Вася,78,12,1,2,5,1,1,8,0
2023-01-26,Вася,57,21,-1,3,2,1,0,6,0
2023-01-27,Вася,63,21,1,4,1,1,0,9,0
2023-01-28,Вася,53,15,1,4,5,0,0,9,0
2023-01-29,Вася,77,10,1,3,3,1,1,4,0
2023-01-30,Вася,56,21,1,2,1,0,0,9,0
2023-01-31,Вася,56,13,0,4,3,0,0,6,0
2023-02-01,Вася,57,27,1,2,1,1,2,6,0
2023-02-02,Вася,79,19,-1,4,3,1,0,8,0
2023-02-03,Вася,75,13,0,2,2,1,0,10,1
2023-02-04,Вася,55,11,1,2,1,1,1,10,0
2023-02-05,Вася,57,24,-1,4,3,1,1,7,0
2023-02-06,Вася,64,10,-1,4,4,1,1,7,0
2023-02-07,Вася,64,24,-1,3,1,1,2,12,0
2023-02-08,Вася,67,25,1,2,1,1,0,6,0
2023-02-09,Вася,79,27,0,4,4,1,2,4,0
2023-02-10,Вася,63,15,0,4,3,1,0,7,1
2023-02-11,Вася,63,29,1,1,2,1,2,5,0
2023-02-12,Вася,55,21,0,4,4,1,0,7,0
2023-02-13,Вася,68,23,1,2,1,1,1,9,0
2023-02-14,Вася,61,11,1,1,2,1,2,7,0
2023-02-15,Вася,65,17,1,2,3,1,0,6,1
2023-02-16,Вася,72,11,0,1,4,0,0,5,0
2023-02-17,Вася,56,29,1,4,1,1,0,9,0
2023-02-18,Вася,68,16,1,2,1,1,1,9,1
2023-02-19,Вася,59,18,1,3,1,0,2,8,0
2023-02-20,Вася,62,14,0,2,1,1,2,2,0
2023-02-21,Вася,62,11,1,4,3,1,0,5,0
2023-02-22,Вася,71,29,1,3,4,-1,1,10,0
2023-02-23,Вася,57,10,0,1,1,0,2,9,0
2023-02-24,Вася,77,26,0,1,1,1,1,10,0
2023-02-25,Вася,52,23,0,3,5,1,0,3,0
2023-02-26,Вася,77,19,0,1,1,-1,2,9,1
2023-02-27,Вася,76,29,1,2,1,0,0,6,0
2023-02-28,Вася,75,12,0,2,3,1,2,2,0
2023-03-01,Вася,75,28,1,1,1,1,1,8,0
2023-03-02,Вася,72,10,-1,2,2,1,0,6,0
2023-03-03,Вася,70,15,1,1,1,1,0,10,0
2023-03-04,Вася,55,19,1,3,1,1,2,9,0
2023-03-05,Вася,64,27,0,4,3,1,2,9,0
2023-03-06,Вася,59,18,0,4,4,1,0,9,0
2023-03-07,Вася,70,15,0,1,1,1,1,7,0
2023-03-08,Вася,50,20,1,2,1,1,0,3,0
2023-03-09,Вася,66,22,1,1,1,0,1,9,0
2023-03-10,Вася,72,20,1,2,1,1,1,7,1
2023-03-11,Вася,64,17,1,3,4,0,1,7,0
2023-03-12,Вася,50,18,1,4,4,1,0,7,0
2023-03-13,Вася,62,28,1,2,3,1,2,7,0
2023-03-14,Вася,64,11,1,4,3,-1,2,9,1
2023-03-15,Вася,52,13,1,2,1,1,0,8,0
2023-03-16,Вася,72,16,1,3,1,0,2,9,0
2023-03-17,Вася,54,17,1,3,3,1,1,7,0
2023-03-18,Вася,60,17,1,1,1,0,1,10,0
2023-03-19,Вася,79,17,1,4,6,1,2,5,0
2023-03-20,Вася,73,21,1,4,7,0,1,6,0
2023-03-21,Вася,53,17,1,3,1,1,0,9,0
2023-03-22,Вася,52,18,1,3,8,-1,2,9,0
2023-03-23,Вася,57,13,1,2,1,1,2,7,0
2023-03-24,Вася,78,11,1,3,9,-1,0,8,0
2023-03-25,Вася,58,10,1,1,1,1,1,9,0
2023-03-26,Вася,70,28,1,4,4,1,2,8,0
2023-03-27,Вася,61,17,-1,2,1,1,2,7,0
2023-03-28,Вася,62,15,1,3,3,1,1,9,0
2023-03-29,Вася,61,11,-1,4,4,-1,0,8,0
2023-03-30,Вася,77,17,1,1,1,-1,0,8,0
2023-03-31,Вася,65,25,0,3,2,0,0,10,0
2023-04-01,Вася,70,22,0,3,1,1,1,12,0
2023-04-02,Вася,62,12,1,3,2,1,0,10,0
2023-04-03,Вася,56,17,1,1,2,1,2,8,0
2023-04-04,Вася,55,27,1,2,3,1,1,10,0
2023-04-05,Вася,55,29,1,3,1,1,0,3,0
2023-04-06,Вася,70,14,1,1,1,1,2,9,1
2023-04-07,Вася,55,12,0,1,2,1,1,6,0
2023-04-08,Вася,52,12,1,3,2,0,1,9,0
2023-04-09,Вася,60,23,-1,2,4,1,0,8,0
2023-04-10,Вася,71,12,-1,2,5,1,1,8,0
2023-04-11,Вася,76,25,1,3,3,1,2,9,0
2023-04-12,Вася,65,14,0,4,1,1,1,8,0
2023-04-13,Вася,75,28,1,3,3,0,0,7,0
2023-04-14,Вася,76,21,1,4,4,1,2,5,0
2023-04-15,Вася,66,23,1,3,5,1,0,4,0
2023-04-16,Вася,68,23,1,4,3,1,2,7,0
2023-04-17,Вася,68,26,1,1,1,0,0,7,0
2023-04-18,Вася,52,19,1,3,2,1,1,11,0
2023-04-19,Вася,74,19,1,4,6,1,0,6,0
2023-04-20,Вася,62,10,1,2,1,1,2,5,0
2023-04-21,Вася,64,21,0,1,1,1,1,9,0
2023-04-22,Вася,77,19,1,3,1,0,2,8,0
2023-04-23,Вася,57,24,1,4,2,0,0,8,0
2023-04-24,Вася,77,15,-1,2,2,1,2,4,0
2023-04-25,Вася,68,21,-1,3,5,1,0,10,0
2023-04-26,Вася,72,14,-1,2,2,-1,0,6,0
2023-04-27,Вася,69,11,1,2,1,0,1,10,0
2023-04-28,Вася,73,12,1,3,1,0,2,7,0
2023-04-29,Вася,73,22,1,1,4,1,2,9,0
2023-04-30,Вася,50,18,0,2,3,0,0,7,0
2023-05-01,Вася,65,25,-1,3,3,1,0,11,0
2023-05-02,Вася,74,26,0,3,5,1,0,8,0
2023-05-03,Вася,69,12,0,3,7,1,2,7,0
2023-05-04,Вася,61,25,0,3,3,1,1,9,0
2023-05-05,Вася,72,12,0,3,1,1,0,9,0
2023-05-06,Вася,62,10,0,4,5,1,1,9,0
2023-05-07,Вася,51,28,-1,1,3,1,0,8,0
2023-05-08,Вася,67,24,1,4,5,1,1,8,0
2023-05-09,Вася,51,22,1,4,7,1,1,8,0
2023-05-10,Вася,50,24,1,2,1,-1,1,7,0
2023-05-11,Вася,55,26,0,1,1,1,0,6,0
2023-05-12,Вася,55,16,0,4,7,1,0,4,0
2023-05-13,Вася,67,24,1,4,2,0,2,10,1
2023-05-14,Вася,79,16,1,2,3,-1,2,11,0
2023-05-15,Вася,59,12,-1,1,1,1,0,11,1
2023-05-16,Вася,77,21,-1,1,3,1,2,9,0
2023-05-17,Вася,65,15,1,3,1,0,2,5,0
2023-05-18,Вася,63,28,0,4,4,-1,2,7,0
2023-05-19,Вася,74,21,1,3,3,1,2,5,0
2023-05-20,Вася,59,22,1,4,3,-1,0,8,0
2023-05-21,Вася,50,22,1,2,1,0,2,7,0
2023-05-22,Вася,52,11,1,4,4,1,1,11,0
2023-05-23,Вася,59,19,1,2,3,1,2,5,0
2023-05-24,Вася,65,27,1,2,2,1,2,7,0
2023-05-25,Вася,76,12,1,3,2,1,2,7,0
2023-05-26,Вася,65,24,1,2,5,1,1,12,0
2023-05-27,Вася,57,11,1,4,5,1,1,2,0
2023-05-28,Вася,61,16,1,4,3,1,1,7,0
2023-05-29,Вася,73,22,1,1,1,-1,0,8,0
2023-05-30,Вася,67,29,1,4,5,1,0,8,0
2023-05-31,Вася,73,28,1,4,4,1,0,9,0
2023-06-01,Вася,60,24,1,4,3,0,0,8,0
2023-06-02,Вася,60,26,0,3,1,1,1,6,0
2023-06-03,Вася,69,28,0,4,1,1,2,9,1
2023-06-04,Вася,50,21,1,1,1,1,0,10,0
2023-06-05,Вася,79,28,1,4,6,1,1,7,0
2023-06-06,Вася,54,13,0,2,1,1,0,8,0
2023-06-07,Вася,70,11,1,3,5,0,1,10,0
2023-06-08,Вася,52,28,1,3,2,1,2,9,0
2023-06-09,Вася,71,22,0,4,5,1,1,10,0
2023-06-10,Вася,58,24,1,2,1,-1,1,10,0
2023-06-11,Вася,62,24,0,2,1,1,2,5,1
2023-06-12,Вася,66,11,1,2,1,0,1,10,0
2023-06-13,Вася,77,28,1,4,2,1,2,8,0
2023-06-14,Вася,72,13,-1,4,1,1,1,5,0
2023-06-15,Вася,56,17,0,3,6,1,2,8,0
2023-06-16,Вася,51,11,1,2,1,0,1,4,0
2023-06-17,Вася,52,12,1,2,1,0,2,9,0
2023-06-18,Вася,64,12,-1,2,2,0,0,8,0
2023-06-19,Вася,77,26,-1,1,1,1,2,7,0
2023-06-20,Вася,51,29,1,2,4,0,0,5,0
2023-06-21,Вася,67,13,-1,4,3,0,0,4,0
2023-06-22,Вася,64,26,-1,4,3,1,1,9,0
2023-06-23,Вася,54,27,1,4,4,1,2,8,0
2023-06-24,Вася,71,12,1,1,1,1,0,9,1
2023-06-25,Вася,62,23,1,4,3,0,2,6,0
2023-06-26,Вася,79,24,1,2,5,0,0,11,0
2023-06-27,Вася,59,29,1,3,6,0,0,7,0
2023-06-28,Вася,79,22,1,2,3,0,1,8,0
2023-06-29,Вася,76,10,1,2,2,1,2,11,0
2023-06-30,Вася,69,23,0,4,4,1,2,7,0
2023-07-01,Вася,75,20,1,2,1,1,2,5,1
2023-07-02,Вася,53,22,1,3,5,1,2,8,0
2023-07-03,Вася,50,22,1,1,1,1,2,6,0
2023-07-04,Вася,78,11,1,2,3,0,0,9,0
2023-07-05,Вася,53,14,-1,1,1,1,2,7,0
2023-07-06,Вася,63,20,0,4,1,1,0,6,1
2023-07-07,Вася,59,25,0,4,2,1,2,9,0
2023-07-08,Вася,77,18,1,4,4,1,2,6,0
2023-07-09,Вася,59,21,1,1,2,0,0,6,0
2023-07-10,Вася,69,29,1,4,3,-1,2,10,0
2023-07-11,Вася,68,11,1,3,4,0,0,9,0
2023-07-12,Вася,63,14,0,3,1,1,0,9,0
2023-07-13,Вася,63,16,1,3,1,1,2,9,0
2023-07-14,Вася,73,12,0,2,2,1,0,8,0
2023-07-15,Вася,72,13,1,2,6,1,0,9,0
2023-07-16,Вася,52,23,1,3,4,1,2,10,0
2023-07-17,Вася,68,14,0,2,1,0,2,6,0
2023-07-18,Вася,50,26,1,1,3,1,0,5,0
2023-07-19,Вася,65,16,-1,4,3,0,0,8,0
2023-07-20,Вася,72,10,0,1,4,1,0,9,0
2023-07-21,Вася,60,16,1,1,1,1,1,5,0
2023-07-22,Вася,54,20,1,1,1,1,2,11,0
2023-07-23,Вася,60,13,1,3,1,0,0,6,0
2023-07-24,Вася,73,26,1,3,4,1,1,9,0
2023-07-25,Вася,57,12,1,1,1,-1,0,8,0
2023-07-26,Вася,68,18,1,1,1,1,1,8,0
2023-07-27,Вася,63,13,1,1,1,1,1,11,1
2023-07-28,Вася,60,18,1,3,5,1,1,7,0
2023-07-29,Вася,51,29,1,1,1,1,1,6,0
2023-07-30,Вася,79,10,1,3,1,1,0,11,0
2023-07-31,Вася,55,20,1,3,2,1,2,7,0
2023-08-01,Вася,75,27,1,4,6,1,0,14,0
2023-08-02,Вася,69,23,1,3,1,1,2,8,0
2023-08-03,Вася,61,27,1,2,2,1,2,9,1
2023-08-04,Вася,53,18,1,3,6,1,2,9,0
2023-08-05,Вася,51,24,-1,1,3,1,0,6,0
2023-08-06,Вася,61,17,0,1,3,1,2,2,0
2023-08-07,Вася,72,12,1,2,1,0,2,9,0
2023-08-08,Вася,62,23,1,1,1,-1,0,10,0
2023-08-09,Вася,58,22,0,3,4,1,1,7,0
2023-08-10,Вася,61,11,1,1,1,0,1,7,0
2023-08-11,Вася,78,13,1,1,1,1,0,8,0
2023-08-12,Вася,77,24,1,2,2,0,2,8,0
2023-08-13,Вася,64,28,-1,2,2,-1,1,10,0
2023-08-14,Вася,71,23,1,1,3,1,2,8,0
2023-08-15,Вася,61,14,-1,1,2,1,0,10,0
2023-08-16,Вася,78,21,-1,3,2,1,0,9,0
2023-08-17,Вася,53,13,1,3,1,1,0,11,0
2023-08-18,Вася,65,17,1,3,4,0,2,8,0
2023-08-19,Вася,65,18,1,1,1,-1,2,8,0
2023-08-20,Вася,75,22,1,2,1,1,2,12,1
2023-08-21,Вася,76,26,1,4,1,1,2,12,0
2023-08-22,Вася,54,25,0,3,3,1,2,7,0
2023-08-23,Вася,77,19,0,1,1,-1,1,6,0
2023-08-24,Вася,51,18,-1,4,3,0,0,8,0
2023-08-25,Вася,77,28,1,4,6,0,0,8,0
2023-08-26,Вася,65,12,1,3,8,0,0,7,0
2023-08-27,Вася,59,18,-1,4,6,1,0,10,0
2023-08-28,Вася,75,12,0,1,2,1,1,9,0
2023-08-29,Вася,58,13,1,3,1,-1,2,7,0
2023-08-30,Вася,56,19,-1,1,1,1,0,6,0
2023-08-31,Вася,69,28,1,3,3,-1,2,8,0
2023-09-01,Вася,68,13,-1,3,2,-1,1,11,0
2023-09-02,Вася,58,17,0,1,1,1,1,8,0
2023-09-03,Вася,58,27,1,3,3,1,1,4,0
2023-09-04,Вася,79,16,0,3,2,0,0,8,0
2023-09-05,Вася,59,24,1,2,1,1,2,9,0
2023-09-06,Вася,50,18,1,1,1,-1,2,9,0
2023-09-07,Вася,58,21,-1,3,1,1,0,4,0
2023-09-08,Вася,62,14,0,4,6,0,1,7,0
2023-09-09,Вася,51,27,0,4,6,1,0,4,0
2023-09-10,Вася,56,24,1,1,2,1,2,5,0
2023-09-11,Вася,55,13,1,3,4,1,2,4,0
2023-09-12,Вася,76,15,0,4,4,1,0,9,0
2023-09-13,Вася,62,22,-1,3,1,0,0,6,0
2023-09-14,Вася,62,11,1,2,1,1,2,9,0
2023-09-15,Вася,68,16,1,2,5,1,2,9,0
2023-09-16,Вася,58,20,1,2,4,1,1,9,0
2023-09-17,Вася,57,22,1,1,1,0,2,10,0
2023-09-18,Вася,62,14,1,2,1,1,2,9,0
2023-09-19,Вася,54,29,1,2,1,1,1,3,0
2023-09-20,Вася,70,26,1,2,4,1,0,8,0
2023-09-21,Вася,73,23,0,2,1,1,0,7,0
2023-09-22,Вася,63,15,1,4,4,1,2,7,1
2023-09-23,Вася,56,29,1,4,4,1,0,14,0
2023-09-24,Вася,54,15,0,1,1,1,0,6,0
2023-09-25,Вася,60,17,1,1,1,1,2,7,1
2023-09-26,Вася,72,25,1,1,1,-1,2,9,0
2023-09-27,Вася,56,24,0,4,1,0,2,9,0
2023-09-28,Вася,50,16,1,1,1,1,1,4,1
2023-09-29,Вася,50,16,0,1,1,-1,2,7,0
2023-09-30,Вася,61,25,1,4,3,0,1,5,0
2023-10-01,Вася,53,15,0,4,1,1,2,7,0
2023-10-02,Вася,75,11,1,4,5,1,1,7,0
