id сотрудника,Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
1,2023-01-01,Вася,72,22,1,1,1,0,0,7,0
1,2023-01-02,Вася,61,14,0,3,7,1,1,7,0
1,2023-01-03,Вася,63,22,1,3,6,1,0,5,0
1,2023-01-04,Вася,78,22,0,3,4,1,2,7,0
1,2023-01-05,Вася,79,23,0,1,1,1,2,9,0
1,2023-01-06,Вася,61,15,1,4,5,-1,2,4,0
1,2023-01-07,Вася,50,23,0,4,5,0,1,7,0
1,2023-01-08,Вася,53,26,1,2,2,1,2,8,0
1,2023-01-09,Вася,60,12,1,1,1,0,1,12,0
1,2023-01-10,Вася,73,12,0,3,6,0,0,6,0
1,2023-01-11,Вася,64,20,1,1,4,1,1,4,0
1,2023-01-12,Вася,73,19,1,3,2,1,2,11,1
1,2023-01-13,Вася,63,20,1,4,2,1,1,7,0
1,2023-01-14,Вася,74,18,1,4,1,1,0,6,0
1,2023-01-15,Вася,68,14,1,2,3,1,1,5,0
1,2023-01-16,Вася,53,22,0,3,1,1,2,8,0
1,2023-01-17,Вася,58,27,1,4,6,0,1,9,0
1,2023-01-18,Вася,54,14,1,4,1,1,0,10,0
1,2023-01-19,Вася,63,24,1,2,1,1,2,7,0
1,2023-01-20,Вася,75,21,0,1,3,0,1,6,1
1,2023-01-21,Вася,66,19,1,2,1,0,1,9,0
1,2023-01-22,Вася,68,20,1,2,1,1,0,7,0
1,2023-01-23,Вася,61,17,1,4,3,1,0,8,0
1,2023-01-24,Вася,73,27,1,2,2,0,2,10,0
1,2023-01-25,Вася,69,17,1,2,1,1,1,6,1
1,2023-01-26,Вася,58,24,1,4,4,0,0,8,0
1,2023-01-27,Вася,57,21,1,1,1,1,2,8,0
1,2023-01-28,Вася,78,25,1,3,4,1,1,8,0
1,2023-01-29,Вася,74,28,1,3,2,1,1,5,0
1,2023-01-30,Вася,65,18,1,2,4,1,2,7,0
1,2023-01-31,Вася,58,12,0,1,3,1,1,10,0
1,2023-02-01,Вася,69,14,1,4,7,1,1,6,0
1,2023-02-02,Вася,75,22,1,3,3,1,0,7,0
1,2023-02-03,Вася,59,14,1,1,1,1,1,11,0
1,2023-02-04,Вася,68,18,0,4,6,0,0,7,0
1,2023-02-05,Вася,73,17,0,1,1,1,2,5,1
1,2023-02-06,Вася,55,29,0,3,1,1,0,8,0
1,2023-02-07,Вася,77,14,0,3,3,1,0,9,0
1,2023-02-08,Вася,60,19,1,4,3,0,2,6,1
1,2023-02-09,Вася,55,16,1,3,1,0,1,7,0
1,2023-02-10,Вася,79,10,1,2,4,-1,0,10,0
1,2023-02-11,Вася,60,14,1,1,6,1,2,7,0
1,2023-02-12,Вася,51,17,-1,1,1,1,2,7,0
1,2023-02-13,Вася,79,18,1,3,1,-1,0,8,0
1,2023-02-14,Вася,71,22,-1,4,4,1,0,13,0
1,2023-02-15,Вася,51,15,0,1,1,1,2,5,0
1,2023-02-16,Вася,65,24,1,2,1,1,1,10,1
1,2023-02-17,Вася,54,26,0,2,1,1,0,10,0
1,2023-02-18,Вася,59,28,1,3,1,1,0,7,0
1,2023-02-19,Вася,70,16,1,1,3,1,2,7,1
1,2023-02-20,Вася,73,29,1,2,1,1,2,6,0
1,2023-02-21,Вася,60,24,-1,3,4,1,2,5,1
1,2023-02-22,Вася,55,22,1,4,2,1,2,7,0
1,2023-02-23,Вася,77,18,0,2,1,1,2,9,0
1,2023-02-24,Вася,64,13,1,2,5,1,0,10,0
1,2023-02-25,Вася,64,20,1,4,1,1,0,7,0
1,2023-02-26,Вася,56,22,1,1,1,0,0,6,0
1,2023-02-27,Вася,56,19,-1,1,1,-1,0,6,0
1,2023-02-28,Вася,59,19,1,3,3,0,2,6,0
1,2023-03-01,Вася,76,21,1,1,1,1,2,10,0
1,2023-03-02,Вася,54,21,-1,3,1,1,2,8,0
1,2023-03-03,Вася,62,21,-1,1,1,0,1,6,0
1,2023-03-04,Вася,70,13,1,3,1,1,1,8,0
1,2023-03-05,Вася,79,16,1,2,1,0,2,7,0
1,2023-03-06,Вася,67,15,1,1,1,-1,1,7,0
1,2023-03-07,Вася,59,21,1,3,1,-1,1,10,0
1,2023-03-08,Вася,65,20,1,2,2,0,0,4,0
1,2023-03-09,Вася,78,25,1,4,4,1,2,3,0
1,2023-03-10,Вася,55,22,1,4,2,1,1,6,0
1,2023-03-11,Вася,54,10,1,2,2,1,2,10,1
1,2023-03-12,Вася,60,19,-1,1,5,0,2,10,0
1,2023-03-13,Вася,68,20,0,4,1,1,0,7,0
1,2023-03-14,Вася,56,20,0,2,3,0,1,7,1
1,2023-03-15,Вася,57,19,1,3,3,1,1,8,1
1,2023-03-16,Вася,73,18,1,2,1,1,1,6,0
1,2023-03-17,Вася,70,15,1,4,4,1,1,10,0
1,2023-03-18,Вася,63,25,1,3,4,1,0,8,1
