id сотрудника,Дата,Сотрудник,Частота сообщения,Объем сообщения,Настрой сообщения,Регулярность коммитов,Интенсивность коммитов,Статус задачи,Приоритетные изменения,Продолжительность активности,Активность ночью
1,2023-03-02,Вася,10,12,-1,0,1,-1,9,15,1
1,2023-03-03,Вася,38,16,-1,1,1,-1,9,6,1
1,2023-03-04,Вася,32,15,-1,1,5,0,9,6,1
1,2023-03-05,Вася,12,16,-1,0,1,-1,9,14,0
1,2023-03-06,Вася,16,14,-1,1,3,-1,5,12,1
1,2023-03-07,Вася,32,11,-1,1,1,-1,9,7,1
1,2023-03-08,Вася,15,11,-1,0,1,-1,8,12,1
1,2023-03-09,Вася,32,15,-1,1,1,-1,5,11,1
1,2023-03-10,Вася,27,15,-1,0,1,-1,5,6,1
1,2023-03-11,Вася,27,11,-1,0,1,-1,8,11,1
2,2023-03-02,Андрей,29,18,1,0,3,-1,6,14,1
2,2023-03-03,Андрей,20,10,1,0,1,-1,9,5,1
2,2023-03-04,Андрей,24,12,-1,0,5,-1,6,10,1
2,2023-03-05,Андрей,15,19,0,0,2,-1,7,12,1
2,2023-03-06,Андрей,21,13,0,1,1,-1,5,13,1
2,2023-03-07,Андрей,19,16,-1,1,1,1,8,8,0
2,2023-03-08,Андрей,12,12,-1,1,3,0,5,7,1
2,2023-03-09,Андрей,35,17,-1,0,1,-1,8,5,1
2,2023-03-10,Андрей,17,16,-1,1,1,-1,9,13,1
2,2023-03-11,Андрей,12,11,-1,0,1,-1,7,7,1
3,2023-03-02,Егор,20,10,-1,0,1,0,7,12,1
3,2023-03-03,Егор,11,16,-1,1,1,-1,6,10,1
3,2023-03-04,Егор,15,17,-1,0,1,-1,6,9,1
3,2023-03-05,Егор,32,14,0,0,1,-1,7,9,1
3,2023-03-06,Егор,18,12,-1,0,1,-1,7,8,1
3,2023-03-07,Егор,28,18,-1,0,1,-1,7,12,1
3,2023-03-08,Егор,27,14,-1,0,1,-1,8,4,1
3,2023-03-09,Егор,31,18,-1,0,1,-1,7,7,1
3,2023-03-10,Егор,29,18,-1,0,1,-1,5,10,1
3,2023-03-11,Егор,26,15,1,0,1,-1,7,11,1
4,2023-03-02,Максим,36,12,-1,1,1,-1,9,5,1
4,2023-03-03,Максим,23,16,-1,1,1,-1,5,11,1
4,2023-03-04,Максим,11,19,0,1,4,-1,5,11,1
4,2023-03-05,Максим,35,19,-1,1,1,-1,8,9,1
4,2023-03-06,Максим,20,13,-1,0,1,-1,9,11,1
4,2023-03-07,Максим,10,18,-1,1,1,-1,8,11,1
4,2023-03-08,Максим,13,11,1,1,1,1,8,8,1
4,2023-03-09,Максим,14,15,-1,1,1,-1,7,9,1
4,2023-03-10,Максим,25,12,-1,1,3,-1,9,12,1
4,2023-03-11,Максим,27,14,1,1,1,-1,7,7,1
5,2023-03-02,Алексей,21,17,-1,0,1,-1,6,9,1
5,2023-03-03,Алексей,31,17,-1,1,1,-1,9,7,1
5,2023-03-04,Алексей,28,19,-1,1,1,1,6,7,1
5,2023-03-05,Алексей,15,15,1,0,1,-1,6,12,1
5,2023-03-06,Алексей,20,19,-1,1,1,-1,7,7,1
5,2023-03-07,Алексей,34,15,1,0,1,0,5,7,0
5,2023-03-08,Алексей,23,13,0,1,1,-1,7,11,1
5,2023-03-09,Алексей,14,19,-1,0,1,-1,5,10,1
5,2023-03-10,Алексей,17,18,-1,1,1,-1,9,12,1
5,2023-03-11,Алексей,27,12,1,1,1,-1,8,8,1
6,2023-03-02,Иван,16,18,1,0,1,-1,9,12,1
6,2023-03-03,Иван,31,12,-1,0,1,-1,7,4,1
6,2023-03-04,Иван,29,19,0,0,1,0,9,8,0
6,2023-03-05,Иван,17,16,1,1,4,-1,9,11,1
6,2023-03-06,Иван,17,13,-1,0,1,-1,7,7,1
6,2023-03-07,Иван,34,12,-1,0,1,-1,8,9,1
6,2023-03-08,Иван,26,12,-1,1,1,-1,5,8,1
6,2023-03-09,Иван,25,14,0,1,1,-1,7,12,1
6,2023-03-10,Иван,17,13,-1,0,1,-1,9,12,1
6,2023-03-11,Иван,15,10,1,0,1,-1,8,14,1
7,2023-03-02,Дмитрий,15,11,0,1,3,-1,6,5,1
7,2023-03-03,Дмитрий,27,11,-1,1,1,-1,9,9,1
7,2023-03-04,Дмитрий,32,13,-1,0,1,0,5,9,1
7,2023-03-05,Дмитрий,35,13,0,0,1,-1,9,8,1
7,2023-03-06,Дмитрий,21,14,-1,1,3,-1,9,8,1
7,2023-03-07,Дмитрий,29,15,-1,0,1,-1,9,12,1
7,2023-03-08,Дмитрий,16,10,-1,0,1,-1,9,14,1
7,2023-03-09,Дмитрий,23,10,-1,0,1,-1,8,9,1
7,2023-03-10,Дмитрий,13,17,0,1,1,1,5,10,1
7,2023-03-11,Дмитрий,15,17,-1,1,1,-1,5,8,1
